['PhuDinh', '19', '192.168.2.58']
['Phu', '16', '192.168.2.58']
['Ohu', '30', '192.168.2.58']
['Phu', '17', '192.168.2.58']
['teacher', '5', '192.168.2.58']
['PhuDinh', '14', '192.168.2.58']
['PhuDinh', '19', '192.168.2.58']
['teacher', '3', '192.168.2.58']
['Ph.D Lê Văn Quốc Anh', '6', '192.168.2.58']
['j', '8', '192.168.2.58']
['Phu', '9', '192.168.2.58']
['PHU', '10', '192.168.2.58']
['Phu', '14', '192.168.2.58']
['Ph.D Lê Văn Quốc Anh', '13', '192.168.2.58']
['Phu', '20', '192.168.2.58']
['Phu', '4', '192.168.2.58']
['p', '21', '192.168.2.58']
['Phu', '5', '192.168.2.58']
['phu', '30', '192.168.2.58']
['pji', '19', '192.168.2.58']
['phu', '13', '192.168.2.58']
['phu', '24', '192.168.2.58']
['phu', '2', '192.168.2.58']
['phu', '26', '192.168.2.58']
['phu', '15', '192.168.2.58']
['ohu', '5', '192.168.2.58']
['Phu', '24', '192.168.2.58']
['phu', '30', '192.168.2.58']
['Phu', '15', '192.168.2.58']
['phu', '15', '192.168.2.58']
['Phu', '10', '192.168.2.58']
['Trương Đình Phú ', '7', '192.168.2.58']
['Phu', '6', '192.168.2.58']
['pHU', '4', '192.168.2.58']
['Phu', '17', '192.168.2.58']
['Phu', '21', '192.168.2.58']
['Phu', '17', '192.168.2.58']
['phu', '2', '192.168.2.58']
['Phu', '2', '192.168.2.58']
['Phu', '10', '192.168.2.58']
['PHU', '14', '192.168.2.58']
['Phu', '23', '192.168.2.58']
['Phu', '2', '192.168.2.58']
['Phu', '2', '192.168.2.58']
['pHU', '12', '192.168.2.58']
['Phu', '14', '192.168.2.58']
['Og', '6', '192.168.2.58']
['Phu', '5', '192.168.2.58']
['Phu', '17', '192.168.2.58']
['Phu', '2', '192.168.2.58']
['phu', '2', '192.168.2.58']
['phu', '4', '192.168.2.58']
['Phu', '2', '192.168.2.58']
['Phu', '2', '192.168.2.58']
['Phu', '2', '192.168.2.58']
['Phu', '3', '192.168.2.58']
['Phu', '2', '192.168.2.58']
['Phu', '2', '192.168.2.58']
['phu', '2', '192.168.2.58']
['h', '2', '192.168.2.58']
